,text,label_h,label_f,label_s
0,knowing ki vikas kitna samjhata hai priyanka aur itch guard luv ko  usne bola tha ben wali baat me ab sallu ne bhi agree kiya,0,1,0
1,i am muhajir  aur mere lye sab se pehly pakistan he  agr  lakh altaf jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi deni chahye  proud to be a #muhajir and #pakistani,0,1,0
2,doctor  sab sahi me ke phd  in hate politics  wale bhai padhe likhe ho fir kyu ye sab baate karte ho tum bas bowling  khelo  aur maje lo pictwittercom fkqubqstw,0,0,1
3,poore desh me patel obc me aate hain sirf gujrat ko chor kar may be  ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye to jis obc ko mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain,0,1,0
4,sarkar banne ke bad hindu hit me ek bhi faisla jo bjp ke dwara liya gaya ho bjp ko  gay gobar mandir masjid aur nafrat faila kar vot chahiye,1,1,0
5,hate it jab test ata ho phr bh acha na ho ,1,0,1
6,ek dil ek jaan akal ke imitihaan kal kp ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh rajput ki ho gayi shaan urdu ki gulaam,0,1,0
7,aise logo se sakht nafrat karta hu jo caste ko naam ke sath jod ke chaude hote h but real me vo piddu hote h,1,1,0
8,sir  jyada sentimental mat ho jao peene ke baadjiss desh ki buniyad sirf hindu hatred pe hui ho woh kabhi nahi sudrega aap pok de do yaa phir kabootar udao  jawab sirf goliyon se milega,1,0,0
9,i am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,0,0,0
10,madam bahut sochsamajhkr mai ess tarq pe pureymahino mei pahucha hoon k asli wajah muslim hatredhai jo kabi partition ramtemple gaumata bharatmaatakijai  vandematram  raastragan  pak premi gaddaar bachche jyada  bibiyabachche k safar tai karte huey tajmahal p jake atka hai,0,0,0
11,i hate sapna yaar coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru  dheere se chalao   https  twittercom znb_abbasi status  ,1,0,0
12,ha rem   emoji i hate this emoji mujhe nagini ki hi yaad aati hai,0,1,0
13,hate heena too much irritating n bat karne ka tamiz nhi hai unmesab ko insult karna ati hai unkobas aur kuch nhi ati haibohot insecure hai wo ladki,1,0,0
14,sir apki fav kon hai iss seasn mai,0,1,1
15,mehanat to school me copy karke likhne me b lagti hai fir illegal kyu atanki ko b lagti hai fir nafrat kyu paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap,0,1,0
16,ladla wo hay jo fard jurm kay bad bhi girftar nahi hota  money trail nahi deta aur saza nahi milti   murder karta hay aur phansi nahi lagti,0,1,0
17,aur ye barun ka comeback show tha koi q nahi dekhna chahega lekin fir b nahi dekh paye mai shivani ko q hate karu muze uski acting nahi achchi lagi jo muze laga wo maine kaha wo mera opinion hai,0,0,0
18,sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko  chintskap akhand bharat ek bharathttps  twittercom chintskap status ,0,1,0
19,code phatta hai toh phatne do  mujhe project se nafrat ho gayi hai  mujhe development team se hatne do,1,1,0
20,arsi bahar jani chahiye i hate arsi khan,1,1,0
21,achha bta diya hum n show hi nhi dekha tha khbri krta kuch ni sirf maa bnta h kr hina ko hate,0,0,0
22,karachi say agencies panjabi  pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho,1,0,0
23,kaahe ke hindu bhamhanwadi se nafrat hai bus,0,1,0
24,aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se,0,1,1
25,ar tag kro ki konkon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh,0,1,0
26,gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,0,1,1
27,haa bhai ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai lets screw this haters  addiadn #wesupportpadmavati,1,0,0
